X20241116.OAPS.3_BC15	X20241116.OAPS.4_BC35	X20241123.OAPS.5_BC14	X20241123.OAPS.5_BC16	X20241123.OAPS.5_BC30	X20241123.OAPS.5_BC33	X20241215.OAPS.3_BC11	X20241215.OAPS.3_BC24	X20241215.OAPS.4_BC16	X20241215.OAPS.4_BC25	X20241215.OAPS.5_BC18	X20241215.OAPS.5_BC20	X20241215.OAPS.6_BC21	X20241215.OAPS.6_BC23	L1.1.BC1	L1.1.BC10	L1.1.BC9	L2.2.BC2	L2.2.BC6	L3.3.BC3	L3.3.BC4	L3.3.BC5	L4.4.BC1	L4.4.BC7	L4.4.BC8
ENSG00000111640.15|2396|GAPDH|protein_coding	503.387875065882	693.354054354427	549.661280072787	563.713817543001	628.717933706117	642.873327491605	560.200334215103	574.230014248017	657.287411324525	628.825666513333	617.785578484113	622.790115155544	626.884253009988	658.998073758181	549.813675171866	638.017042618485	556.772787879964	655.49250197337	542.174686789663	537.050977730129	611.707449170446	647.698582786857	577.430911918248	565.695244790019	657.7810716902
ENSG00000112096.19|18144|SOD2|protein_coding	749.228465214337	409.709213936707	553.392748083229	595.657925679259	588.205183008933	584.430306978072	636.810639797763	584.182597596881	551.060999227444	535.892280862138	566.225682839755	620.806863878739	553.745794061875	555.162764474347	582.80327167357	568.988354105242	583.563470932408	547.485400538361	605.791746541943	578.652449019397	583.530585019789	583.959971213207	573.654342710562	585.38480766936	580.71799542008
ENSG00000112306.8|639|RPS12|protein_coding	924.828886748947	1355.19201532911	1010.88754448457	1024.9535236234	1237.87719055238	1271.12885765947	952.663517468898	1004.99274213267	1242.58791558544	1262.92765005678	1246.16421448467	1217.3577801525	1276.32790598168	1381.28163559378	1008.82769251137	1230.29873849399	1025.01869149425	1220.37807067874	1040.6882961366	1037.97496301416	1298.84570533303	1229.57808529186	1016.09659321307	1055.9979803075	1253.36176052901
ENSG00000114391.13|2618|RPL24|protein_coding	316.080758762298	497.954275399998	391.64324544536	391.64324544536	429.343605994948	410.775870656645	400.843487584808	380.947845245329	370.613713179844	366.101733305507	430.182827745142	412.556388616662	469.493121510702	466.205069672974	393.671008854927	420.272456182292	413.634906110069	404.331354140912	392.06429650523	400.221197587769	409.086633242279	416.9173530335	399.132452076198	397.81686845668	415.944077469376
ENSG00000114942.14|1915|EEF1B2|protein_coding	175.60042153461	390.799557908859	271.65758781442	271.65758781442	286.626552983505	300.866780844374	235.280658164661	245.518689567686	398.430340823856	298.290712078325	290.659901968468	266.225044953095	287.066884124255	275.497721726809	250.639102630606	257.725990806703	283.300538029043	274.390369883958	281.725541674782	298.797565849906	293.855339207928	308.944885154646	271.75180305444	301.323262016104	286.221407676323
ENSG00000115053.17|8919|NCL|protein_coding	678.988296600493	680.747617002529	485.92680120535	513.53521561997	912.948066062682	813.598046213383	626.591125363019	537.104629605695	896.67302918489	695.27680894088	1017.42713986448	921.90884278012	771.802201703449	635.11343858669	470.412861113754	756.655678807825	553.208227361265	911.764124401071	523.760407354233	587.618616510423	961.095702248425	780.504665114933	509.975148417835	472.903521347178	795.506347719427
ENSG00000115268.10|2138|RPS15|protein_coding	643.868212293571	466.438182020251	385.206358256443	385.206358256443	706.760614782258	745.107723674771	355.145806725905	430.9978801076	619.606247712232	751.915457199126	714.962719671105	721.666447950467	725.195121581536	768.087047785678	386.511908723805	734.886523097223	389.277504061964	703.90405133136	384.287731397735	374.641191263566	684.573915386261	733.111219443816	400.639877490758	432.440402752913	717.446807082994
ENSG00000115464.15|18443|USP34|protein_coding	187.307116303584	100.851498815189	165.026572578461	142.692867278283	139.157982438315	134.870382266559	157.19926902923	149.095922657332	128.708606198082	147.197980886701	140.467742940913	137.897353840122	135.589043206359	138.838811718683	143.281062632468	136.447619551253	145.65995448058	153.224242325246	144.111276799046	150.864962651296	139.369594194856	141.180463289924	148.19151758933	142.414742250658	143.078472195257
ENSG00000115993.13|7516|TRAK2|protein_coding	409.73431691409	737.476585086073	533.630841767626	547.766509575976	602.877677045262	602.877677045262	486.721305542152	548.162936054247	598.394322533092	572.642456017829	728.476780357262	598.63280409156	601.96438005586	597.358445401644	507.919412339478	508.656650064685	576.360544508763	645.601274194706	610.680719848385	624.295091547218	568.999773497857	667.202383692517	458.072222744827	459.366426468724	661.717354505539
ENSG00000116251.11|4665|RPL22|protein_coding	292.66736922435	390.799557908859	223.620572310819	223.620572310819	467.336074282055	448.772476695071	215.595196929448	248.456827692435	470.816612869979	465.858514891081	434.158509567951	446.661691570831	459.658807882656	467.938654740721	211.624852899276	398.611361459429	186.261084017799	547.353051183257	219.985123322572	238.892742958777	527.709391743648	379.197119715837	258.23734433544	214.816317482313	474.494805034232
ENSG00000117523.17|14194|PRRC2C|protein_coding	58.5334738448701	157.580466898734	59.070053746116	89.6348699363675	141.998569390336	149.116897229454	85.9484011742327	79.0553481738912	157.429483782227	137.58765194753	134.688742567559	151.470699248727	128.348544539917	134.928430967188	71.9483697359458	137.873521842422	62.7891289348006	130.708884656394	77.5212108847706	74.1457048781269	167.478453069939	153.205912255135	69.0527132381464	67.9493864387105	141.841554248335
ENSG00000118181.11|1477|RPS25|protein_coding	702.401686138441	939.179582716452	811.293138340674	811.293138340674	828.384522996182	819.078027764636	891.117166611733	757.426575922708	802.434882787195	826.338191540302	818.158187160063	802.998045430997	846.852745071456	837.976440973174	817.535482179406	826.170016920302	819.08878802802	814.883962902405	817.142848575149	809.338125774815	832.780652352901	821.141758290402	821.070704163647	818.221751031961	819.297582800381
ENSG00000121892.15|12204|PDS5A|protein_coding	608.748127986649	289.94805909367	441.421658653159	441.421658653159	459.853124294375	450.5423501362	425.671403478294	432.725559664756	475.651797055025	460.173851597435	484.286970803068	456.629267342436	444.27060360703	428.810147525695	440.249137359295	444.621514443344	443.167528489198	455.947710471524	445.51729896811	439.241807103029	448.02807933038	464.220102903484	450.506674170597	447.472620860151	452.092980295353
